"DisplayName","InstallLocation"
"Visual Studio Build Tools 2019","C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools"
"Visual Studio Build Tools 2017","C:\Program Files (x86)\Microsoft Visual Studio\2017\BuildTools"
"Anki",
,
"GnuWin32: DiffUtils version 2.8.7",
"Google Chrome","C:\Program Files\Google\Chrome\Application"
"IntelliJ IDEA Community Edition 2021.2.1","C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2021.2.1"
"KDE Connect",
"Microsoft Edge","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Edge Update",
"Microsoft Edge WebView2 Runtime","C:\Program Files (x86)\Microsoft\EdgeWebView\Application"
"Notepad++ (32-bit x86)",
"Perfect Screen Ruler 3.0","C:\Program Files (x86)\Perfect Screen Ruler\"
"PyCharm Community Edition 2021.2.1","C:\Program Files\JetBrains\PyCharm Community Edition 2021.2.1"
"VLC media player","C:\Program Files (x86)\VideoLAN\VLC"
,
"Universal CRT Redistributable",""
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501",
"Realtek Audio COM Components",""
"Java 8 Update 301","C:\Program Files (x86)\Java\jre1.8.0_301\"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135",""
"Python Launcher",""
"Java Auto Updater",""
"Microsoft Visual C++ 2017 X86 Debug Runtime - 14.16.27033",""
"Google Update Helper",""
"Metadata++ version 1.21.23 - 01-10-2020","C:\Program Files (x86)\Metadata++\"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135",""
"EPUB File Reader","C:\Program Files (x86)\EPUB File Reader\"
"vs_FileTracker_Singleton",""
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30135",
"Microsoft Windows Desktop Runtime - 3.1.15 (x64)",
"Microsoft Visual Studio Setup Configuration",""
"Realtek High Definition Audio Driver","C:\Program Files\Realtek\Audio\HDA"
"Microsoft Visual Studio Setup WMI Provider",""
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30135",
"7-Zip 19.00 (x64)","C:\Program Files\7-Zip\"
"Android Studio",
"AutoHotkey 1.1.33.09",
,
"Ditto 3.24.214.0","C:\Program Files\Ditto\"
"Everything 1.4.1.1009 (x64)","C:\Program Files\Everything"
"Git version 2.32.0.2","C:\Program Files\Git\"
"Intel? Hardware Accelerated Execution Manager",
"Mozilla Firefox (x64 en-US)","C:\Program Files\Mozilla Firefox"
"Mozilla Maintenance Service",
"Microsoft 365 - en-us","C:\Program Files\Microsoft Office"
"Microsoft OneDrive",
"Vim 8.2",
,
"XAMPP","C:\xampp"
"Python 3.9.6 Documentation (64-bit)",""
"Microsoft Update Health Tools",""
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135",""
"PowerShell 7-x64",""
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135",""
"PowerToys (Preview)","C:\Program Files\PowerToys\"
"Python 3.9.6 Standard Library (64-bit)",""
"Python 3.9.6 Utility Scripts (64-bit)",""
"DB Browser for SQLite","C:\Program Files\DB Browser for SQLite\"
"paint.net",""
"Pandoc 2.14.2","C:\Users\jayst\AppData\Local\Pandoc\"
"Python 3.9.6 Test Suite (64-bit)",""
"Microsoft .NET Core Host - 3.1.15 (x64)",""
"Python 3.9.6 pip Bootstrap (64-bit)",""
"Google Drive","C:\Program Files\Google\Drive File Stream\53.0.8.0\GoogleDriveFS.exe"
"Microsoft Visual Studio Installer","""C:\Program Files (x86)\Microsoft Visual Studio\Installer"""
"Windows PC Health Check",""
"Python 3.9.6 Tcl/Tk Support (64-bit)",""
"MySQL Workbench 8.0 CE",""
"Microsoft .NET Core Runtime - 3.1.15 (x64)",""
"Java(TM) SE Development Kit 16.0.2 (64-bit)","C:\Program Files\Java\jdk-16.0.2\"
"Office 16 Click-to-Run Licensing Component",""
"Office 16 Click-to-Run Extensibility Component",""
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005",""
"Node.js",""
"LibreOffice 7.2.1.2","C:\Program Files\LibreOffice\"
"Python 3.9.6 Executables (64-bit)",""
"Dell Touchpad","C:\Program Files\DellTPad"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005",""
"MySQL Utilities",""
"Python 3.9.6 Core Interpreter (64-bit)",""
"Microsoft .NET Core Host FX Resolver - 3.1.15 (x64)",""
"Microsoft Windows Desktop Runtime - 3.1.15 (x64)",""
"Python 3.9.6 Development Libraries (64-bit)",""
"Python 3.9.6 Add to Path (64-bit)",""
"Microsoft Visual C++ 2017 X64 Debug Runtime - 14.16.27033",""
"NetSpot",
"BitTorrent Web",
"Google Cloud SDK","""C:\Users\jayst\AppData\Local\Google\Cloud SDK"""
"inSSIDer","C:\Users\jayst\AppData\Local\inSSIDer"
"Rustup: the Rust toolchain installer",
"JetBrains Toolbox",
"WinDirStat 1.1.2","C:\Program Files (x86)\WinDirStat"
"Python 3.9.6 (64-bit)",
"Microsoft Visual Studio Code (User)","C:\Users\jayst\AppData\Local\Programs\Microsoft VS Code\"
